Boundary Metrics Comparison
Test samples: 1200
Folds: ['f0', 'f1', 'f2', 'f3']

    Method    |       Dice       |        IoU        |        BF1        |        HD95       |       ASSD      |    Band3_Dice    |    Band3_IoU     |    Band3_BF1     |    Band5_Dice    |    Band5_IoU     |    Band5_BF1     |   Band10_Dice    |    Band10_IoU    |    Band10_BF1   
--------------+------------------+-------------------+-------------------+-------------------+-----------------+------------------+------------------+------------------+------------------+------------------+------------------+------------------+------------------+-----------------
 GeoRisk-SPC  |  92.18 +/- 8.95  |  86.74 +/- 12.43  |  92.42 +/- 10.00  |  13.06 +/- 25.89  |  2.10 +/- 4.19  |  85.35 +/- 6.38  |  75.04 +/- 8.65  |  93.99 +/- 5.91  |  89.41 +/- 5.82  |  81.41 +/- 8.32  |  93.97 +/- 5.82  |  92.34 +/- 5.59  |  86.35 +/- 8.28  |  92.89 +/- 6.55 
      MT      |  90.63 +/- 8.70  |  84.07 +/- 11.91  |   89.66 +/- 9.76  |  15.88 +/- 26.79  |  2.53 +/- 4.31  |  82.23 +/- 6.04  |  70.35 +/- 7.96  |  91.33 +/- 5.73  |  86.99 +/- 5.57  |  77.48 +/- 7.84  |  91.51 +/- 5.55  |  90.65 +/- 5.39  |  83.42 +/- 7.98  |  90.14 +/- 6.34 
   SegMatch   |  90.99 +/- 8.90  |  84.67 +/- 11.95  |  90.12 +/- 10.06  |    inf +/- nan    |   inf +/- nan   |  82.27 +/- 6.84  |  70.51 +/- 8.69  |  91.41 +/- 6.53  |  87.07 +/- 6.35  |  77.70 +/- 8.55  |  91.63 +/- 6.31  |  90.75 +/- 6.06  |  83.69 +/- 8.55  |  90.36 +/- 6.82 
     UAMT     |  90.80 +/- 8.45  |  84.34 +/- 11.54  |   89.83 +/- 9.58  |  15.61 +/- 25.73  |  2.51 +/- 4.29  |  82.42 +/- 6.03  |  70.62 +/- 7.91  |  91.49 +/- 5.73  |  87.16 +/- 5.57  |  77.75 +/- 7.78  |  91.70 +/- 5.52  |  90.84 +/- 5.30  |  83.72 +/- 7.79  |  90.34 +/- 6.16 

Detailed per-method:

--- GeoRisk-SPC ---
  ASSD: 2.0979 +/- 4.1868
  BF1: 92.42% +/- 10.00%
  Band10_BF1: 92.89% +/- 6.55%
  Band10_Dice: 92.34% +/- 5.59%
  Band10_IoU: 86.35% +/- 8.28%
  Band3_BF1: 93.99% +/- 5.91%
  Band3_Dice: 85.35% +/- 6.38%
  Band3_IoU: 75.04% +/- 8.65%
  Band5_BF1: 93.97% +/- 5.82%
  Band5_Dice: 89.41% +/- 5.82%
  Band5_IoU: 81.41% +/- 8.32%
  Dice: 92.18% +/- 8.95%
  HD95: 13.0633 +/- 25.8940
  IoU: 86.74% +/- 12.43%

--- MT ---
  ASSD: 2.5270 +/- 4.3096
  BF1: 89.66% +/- 9.76%
  Band10_BF1: 90.14% +/- 6.34%
  Band10_Dice: 90.65% +/- 5.39%
  Band10_IoU: 83.42% +/- 7.98%
  Band3_BF1: 91.33% +/- 5.73%
  Band3_Dice: 82.23% +/- 6.04%
  Band3_IoU: 70.35% +/- 7.96%
  Band5_BF1: 91.51% +/- 5.55%
  Band5_Dice: 86.99% +/- 5.57%
  Band5_IoU: 77.48% +/- 7.84%
  Dice: 90.63% +/- 8.70%
  HD95: 15.8806 +/- 26.7926
  IoU: 84.07% +/- 11.91%

--- SegMatch ---
  ASSD: inf +/- nan
  BF1: 90.12% +/- 10.06%
  Band10_BF1: 90.36% +/- 6.82%
  Band10_Dice: 90.75% +/- 6.06%
  Band10_IoU: 83.69% +/- 8.55%
  Band3_BF1: 91.41% +/- 6.53%
  Band3_Dice: 82.27% +/- 6.84%
  Band3_IoU: 70.51% +/- 8.69%
  Band5_BF1: 91.63% +/- 6.31%
  Band5_Dice: 87.07% +/- 6.35%
  Band5_IoU: 77.70% +/- 8.55%
  Dice: 90.99% +/- 8.90%
  HD95: inf +/- nan
  IoU: 84.67% +/- 11.95%

--- UAMT ---
  ASSD: 2.5070 +/- 4.2862
  BF1: 89.83% +/- 9.58%
  Band10_BF1: 90.34% +/- 6.16%
  Band10_Dice: 90.84% +/- 5.30%
  Band10_IoU: 83.72% +/- 7.79%
  Band3_BF1: 91.49% +/- 5.73%
  Band3_Dice: 82.42% +/- 6.03%
  Band3_IoU: 70.62% +/- 7.91%
  Band5_BF1: 91.70% +/- 5.52%
  Band5_Dice: 87.16% +/- 5.57%
  Band5_IoU: 77.75% +/- 7.78%
  Dice: 90.80% +/- 8.45%
  HD95: 15.6144 +/- 25.7256
  IoU: 84.34% +/- 11.54%
